place, lat_one, lon_one, lat_two, lon_two,mp_lat,mp_lon
history,4.599163,101.0858,4.599288,101.085791,4.5992255,101.0857955
Ants bar,4.615036,101.122872,4.614936,101.122808,4.614986,101.12284
Avanday(Check Done File),4.631782,101.126671,4.6318191,101.12663,4.63180055,101.1266505
Break bar,4.600488,101.096449,4.600375,101.096607,4.6004315,101.096528
1789 HMY Bar & Bistro,4.6167648,101.120064,4.617754,101.120107,4.6172594,101.1200855
Bricks & Barrels,4.59898,101.085677,4.599101,101.085677,4.5990405,101.085677
Chachi,4.671713,101.074802,4.671667,101.074925,4.67169,101.0748635
INC (Mc Square Cafe And Lounge),4.625175,101.117372,4.625229,101.117422,4.625202,101.117397
Cinzano,4.60653,101.119445,4.606492,101.119511,4.606511,101.119478
White House Corner,4.617401,101.121047,4.617331,101.121003,4.617366,101.121025
KJ Pub,4.618456,101.119406,4.618522,101.119452,4.618489,101.119429
The Deck Gastrobar,4.594809,101.089986,4.59458,101.090304,4.5946945,101.090145
English,4.597924,101.085,4.59789,101.084938,4.597907,101.084969
Sonata Lounge,4.597445,101.086631,4.597346,101.086496,4.5973955,101.0865635
Fats Tavern,4.601195,101.113825,4.601161,101.113877,4.601178,101.113851
Fuzhou,4.591864,101.083788,4.591803,101.083849,4.5918335,101.0838185
Galaxy Paradise,4.5992359,101.083237,4.592376,101.083284,4.59580595,101.0832605
Golden Palace City,4.617241,101.119821,4.61715,101.119866,4.6171955,101.1198435
Kopi Bar,4.56164,101.111992,4.561679,101.111943,4.5616595,101.1119675
Haven H,4.597253,101.087931,4.597206,101.087885,4.5972295,101.087908
Healy Macs,4.599029,101.092199,4.598933,101.092213,4.598981,101.092206
Lucky KTV,4.547137,101.068532,4.547192,101.068493,4.5471645,101.0685125
St James,4.59844,101.086288,4.598375,101.08632,4.5984075,101.086304
Lobby Lounge & Expresso Cafe,4.597473,101.088014,4.59067,101.088657,4.5940715,101.0883355
Marianis @ 7,4.595157,101.092182,4.595079,101.092063,4.595118,101.0921225
Rooftop Restraunt and Bar,4.615275,101.122551,4.615348,101.122694,4.6153115,101.1226225
De Nest,4.589552,101.0953,4.589824,101.095293,4.589688,101.0952965
SKS,4.589549,101.083907,4.589609,101.083886,4.589579,101.0838965
Cool Bar,4.61559,101.120446,4.615621,101.120535,4.6156055,101.1204905
Tandoor Grill,4.599348,101.098051,4.599591,101.097741,4.5994695,101.097896
Olivenz Cafe,4.618163,101.121061,4.618291,101.120876,4.618227,101.1209685
Baliz,4.617681,101.120304,4.61778,101.120345,4.6177305,101.1203245
7 Dreams,4.617712,101.120533,4.617815,101.12058,4.6177635,101.1205565
7 Sky,4.621685,101.116542,4.621538,101.11693,4.6216115,101.116736
Shangirlila,4.59384,101.0863,4.593782,101.086231,4.593811,101.0862655
Shayo De Vin,4.598704,101.095668,4.59872,101.095608,4.598712,101.095638
Mansion Bistro & Bar,4.599085,101.085781,4.599201,101.085735,4.599143,101.085758
Speakeasy,4.599254,101.085856,4.599385,101.085858,4.5993195,101.085857
St Patrick's,4.59858,101.085996,4.598465,101.086068,4.5985225,101.086032
The Scotch Restraunt,4.606211,101.119895,4.606273,101.11994,4.606242,101.1199175
The Muse Bar And Restraunt,4.60077,101.115185,4.600893,101.115278,4.6008315,101.1152315
The Museum,4.599086,101.095152,4.598943,101.095125,4.5990145,101.0951385
Ritz Cool Lounge,4.589554,101.084114,4.589354,101.084194,4.589454,101.084154
The Voice Ipoh,4.59674,101.089327,4.592563,101.089178,4.5946515,101.0892525
Vivi Pub & Bistro,4.593989,101.086498,4.594018,101.086557,4.5940035,101.0865275
Rewine Wine & Dine,4.600157,101.095124,4.600057,101.094927,4.600107,101.0950255
Em Yew,4.598986,101.082522,4.599027,101.082637,4.5990065,101.0825795
Tambun Inn Hotel,4.600852,101.114928,4.600691,101.115143,4.6007715,101.1150355
OTK Studio Karaoke Box,4.571131,101.113285,4.57127,101.11333,4.5712005,101.1133075
ii Pub & Bistro,4.600109,101.094646,4.600043,101.094594,4.600076,101.09462
Secret Garden,4.597237,101.098838,4.596902,101.098957,4.5970695,101.0988975
